product_id,product_name,total_orders,total_quantity_sold,total_sales
OFF-BI-10000474,"Avery Recycled Flexi-View Covers for Binding Systems",7,32,197.169
FUR-FU-10004848,"DAX Solid Wood Frames",12,44,1438.1319999999998
FUR-FU-10004848,"Howard Miller 13-3/4" Diameter Brushed Chrome Round Wall Clock"",12,44,1438.1319999999998
OFF-EN-10001509,"Poly String Tie Envelopes",11,35,68.136
OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",6,30,496.24799999999993
OFF-AR-10001683,"Lumber Crayons",6,19,171.39
OFF-PA-10000249,"Easy-staple paper",6,17,196.48
TEC-PH-10004977,"GE 30524EE4",9,32,5291.7300000000005
FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",5,33,2863.8
OFF-EN-10002986,"#10-4 1/8" x 9 1/2"" Premium Diagonal Seam Envelopes"",2,13,176.288
FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",8,35,7539.7122
FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",9,35,3150.576
TEC-PH-10000486,"Plantronics HL10 Handset Lifter",3,24,2227.008
TEC-PH-10004093,"Panasonic Kx-TS550",7,23,846.216
OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",7,25,872.2559999999999
OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",4,18,1051.776
TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",5,12,248.29199999999997
OFF-BI-10003291,"Wilson Jones Leather-Like Binders with DublLock Round Rings",12,46,238.329
OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",6,20,953.82
TEC-AC-10002167,"Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive",8,25,357
TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",8,28,261.59999999999997
OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",4,21,85.995
OFF-LA-10002762,"Avery 485",8,51,639.03
FUR-FU-10001706,"Longer-Life Soft White Bulbs",10,44,115.19199999999998
FUR-CH-10003061,"Global Leather Task Chair, Black",8,19,1448.839
OFF-FA-10000304,"Advantus Push Pins",7,27,54.936
TEC-PH-10002447,"AT&T CL83451 4-Handset Telephone",4,10,1936.306
OFF-ST-10000604,"Home/Office Personal File Carts",7,30,980.232
OFF-PA-10001569,"Xerox 232",4,19,120.528
FUR-CH-10003968,"Novimex Turbo Task Chair",6,22,1341.522
OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",4,15,106.288
OFF-BI-10001460,"Plastic Binding Combs",5,23,269.67
OFF-AR-10001868,"Prang Dustless Chalk Sticks",8,24,38.976000000000006
TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",6,30,184.53600000000003
OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8" X 11"""",7,37,175.388
OFF-PA-10003892,"Xerox 1943",4,16,743.432
FUR-FU-10000397,"Luxo Economy Swing Arm Lamp",5,17,338.98
FUR-CH-10001146,"Global Task Chair, Black",15,51,2442.0240000000003
FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",15,51,2442.0240000000003
OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1,8,1113.024
TEC-PH-10002726,"netTALK DUO VoIP Telephone Service",7,26,1112.788
OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",6,28,1016.7919999999999
OFF-BI-10004654,"VariCap6 Expandable Binder",11,36,214.57300000000004
OFF-BI-10004654,"Avery Binding System Hidden Tab Executive Style Index Sets",11,36,214.57300000000004
OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2" x 3 3/16"""",6,17,99.06
FUR-CH-10000513,"High-Back Leather Manager's Chair",9,42,4770.633
FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36" x 48"""",6,24,1322.1699999999998
OFF-ST-10004123,"Safco Industrial Wire Shelving System",8,30,2511.0480000000002
OFF-BI-10004182,"Economy Binders",4,19,29.952
OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",8,32,347.31
FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",4,15,108.08
OFF-AP-10002118,"1.7 Cubic Foot Compact "Cube"" Office Refrigerators"",6,14,2706.08
OFF-BI-10002309,"Avery Heavy-Duty EZD  Binder With Locking Rings",6,28,110.48399999999998
OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",7,29,81.652
OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",6,24,483.414
OFF-EN-10000927,"Jet-Pak Recycled Peel 'N' Seal Padded Mailers",4,19,552.706
OFF-ST-10003656,"Safco Industrial Wire Shelving",5,16,1363.058
FUR-CH-10000863,"Novimex Swivel Fabric Task Chair",8,25,2913.9139999999998
TEC-AC-10001998,"Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired",6,11,207.89600000000002
OFF-LA-10000134,"Avery 511",6,20,56.672
OFF-ST-10003442,"Eldon Portable Mobile Manager",9,34,899.3040000000001
OFF-AR-10004930,"Turquoise Lead Holder with Pocket Clip",3,6,37.52
OFF-PA-10000304,"Xerox 1995",6,22,121.824
OFF-PA-10003177,"Xerox 1999",7,17,98.49600000000001
FUR-FU-10003799,"Seth Thomas 13 1/2" Wall Clock"",5,20,316.48400000000004
OFF-BI-10002852,"Ibico Standard Transparent Covers",10,34,390.5760000000001
OFF-BI-10004738,"Flexible Leather- Look Classic Collection Ring Binder",6,13,142.05
FUR-FU-10000629,"9-3/4 Diameter Round Wall Clock",8,34,455.06999999999994
OFF-BI-10001721,"Trimflex Flexible Post Binders",4,21,346.356
OFF-AP-10000358,"Fellowes Basic Home/Office Series Surge Protectors",9,41,436.12800000000004
OFF-PA-10003256,"Avery Personal Creations Heavyweight Cards",3,11,103.85999999999999
TEC-AC-10001767,"SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card",6,25,927.768
OFF-BI-10002609,"Avery Hidden Tab Dividers for Binding Systems",7,24,31.588
OFF-PA-10004040,"Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)",5,24,129.168
TEC-AC-10001552,"Logitech K350 2.4Ghz Wireless Keyboard",5,25,1154.6640000000002
FUR-FU-10004006,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",6,17,673.87
TEC-AC-10003499,"Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive",5,20,194.54399999999998
TEC-PH-10002844,"Speck Products Candyshell Flip Case",4,8,188.946
OFF-AR-10000390,"Newell Chalk Holder",7,21,83.426
TEC-AC-10000844,"Logitech Gaming G510s - Keyboard",8,31,2362.722
FUR-FU-10001934,"Magnifier Swing Arm Lamp",5,12,251.76000000000002
OFF-AR-10000380,"Hunt PowerHouse Electric Pencil Sharpener, Blue",10,44,1617.9480000000003
OFF-BI-10003981,"Avery Durable Plastic 1" Binders"",7,34,116.224
OFF-FA-10000621,"OIC Colored Binder Clips, Assorted Sizes",7,44,139.62
OFF-EN-10002600,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",7,35,93.22
OFF-PA-10004965,"Xerox 1921",3,7,55.944
OFF-EN-10002504,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",7,24,570.7800000000001
FUR-TA-10001768,"Hon Racetrack Conference Tables",6,22,3963.901
OFF-BI-10003650,"GBC DocuBind 300 Electric Binding Machine",8,23,6785.142
FUR-FU-10002157,"Artistic Insta-Plaque",3,10,156.8
OFF-ST-10000777,"Companion Letter/Legal File, Black",5,17,611.712
OFF-EN-10002500,"Globe Weis Peel & Seel First Class Envelopes",7,30,375.73199999999997
TEC-PH-10003875,"KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7",3,13,126.36
FUR-CH-10004063,"Global Deluxe High-Back Manager's Chair",8,35,8665.194
FUR-TA-10004534,"Bevis 44 x 96 Conference Tables",5,20,3253.2200000000003
OFF-BI-10003274,"Avery Durable Slant Ring Binders, No Labels",9,36,89.55
OFF-ST-10002974,"Trav-L-File Heavy-Duty Shuttle II, Black",7,30,1193.818
FUR-FU-10003773,"Eldon Cleatmat Plus Chair Mats for High Pile Carpets",5,20,1304.128
TEC-PH-10002293,"Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5",6,22,339.83
OFF-PA-10002377,"Xerox 1916",7,20,831.98
OFF-FA-10002780,Staples,5,37,92.976
OFF-PA-10001804,"Xerox 195",8,27,164.32799999999997
OFF-PA-10001736,"Xerox 1880",5,18,623.7439999999999
OFF-AR-10001149,"Avery Hi-Liter Comfort Grip Fluorescent Highlighter, Yellow Ink",7,30,80.952
OFF-AR-10001149,"Sanford Colorific Colored Pencils, 12/Box",7,30,80.952
OFF-FA-10002988,"Ideal Clamps",8,33,58.69199999999999
OFF-BI-10004781,"GBC Wire Binding Strips",5,14,212.658
OFF-SU-10001218,"Fiskars Softgrip Scissors",7,28,307.44
OFF-AR-10000940,"Newell 343",7,24,65.268
OFF-EN-10004030,"Convenience Packs of Business Envelopes",6,18,58.644000000000005
OFF-PA-10004327,"Xerox 1911",5,13,603.54
OFF-AP-10001058,"Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators",4,17,4476.96
FUR-FU-10000521,"Seth Thomas 14" Putty-Colored Wall Clock"",4,13,357.94800000000004
TEC-PH-10000215,"Plantronics Cordless Phone Headset with In-line Volume - M214C",6,27,908.7
TEC-PH-10001448,"Anker Astro 15000mAh USB Portable Charger",5,13,599.88
OFF-BI-10002735,"GBC Prestige Therm-A-Bind Covers",10,39,1073.903
OFF-AP-10000326,"Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection",1,5,157.92
TEC-PH-10001254,"Jabra BIZ 2300 Duo QD Duo Corded Headset",4,17,1727.064
OFF-PA-10001950,"Southworth 25% Cotton Antique Laid Paper & Envelopes",5,26,200.16
OFF-PA-10002254,"Xerox 1883",7,37,881.0919999999999
OFF-ST-10001590,"Tenex Personal Project File with Scoop Front Design, Black",10,40,517.6320000000001
OFF-AR-10001547,"Newell 311",8,30,61.43800000000001
OFF-LA-10002475,"Avery 519",6,18,121.346
TEC-PH-10004536,"Avaya 5420 Digital phone",3,12,1538.886
OFF-PA-10002751,"Xerox 1920",4,15,89.7
TEC-AC-10003657,"Lenovo 17-Key USB Numeric Keypad",5,13,367.092
OFF-EN-10001990,"Staple envelope",6,23,130.64
OFF-BI-10004002,"Wilson Jones International Size A4 Ring Binders",7,18,174.73000000000002
OFF-AR-10004441,"BIC Brite Liner Highlighters",7,23,86.11200000000001
TEC-MA-10000822,"Lexmark MX611dhe Monochrome Laser Printer",4,18,16829.901
OFF-ST-10000991,"Space Solutions HD Industrial Steel Shelving.",8,27,3035.2080000000005
FUR-CH-10004287,"SAFCO Arco Folding Chair",13,53,11572.78
OFF-AR-10002656,"Sanford Liquid Accent Highlighters",5,24,149.63199999999998
OFF-AP-10002518,"Kensington 7 Outlet MasterPiece Power Center",5,21,2883.276
TEC-PH-10003931,"JBL Micro Wireless Portable Bluetooth Speaker",6,17,779.87
OFF-PA-10000659,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",7,39,501.39199999999994
OFF-PA-10000659,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",7,39,501.39199999999994
OFF-PA-10001144,"Xerox 1913",5,17,865.488
FUR-CH-10003817,"Global Value Steno Chair, Gray",10,43,2204.8619999999996
OFF-AP-10000891,"Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center",5,21,2491.2799999999997
OFF-LA-10003148,"Avery 51",5,16,95.75999999999999
OFF-AP-10002684,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",7,31,3039.4999999999995
FUR-CH-10004698,"Padded Folding Chairs, Black, 4/Carton",8,30,1830.1480000000001
OFF-SU-10002189,"Acme Rosewood Handle Letter Opener",3,12,43.67
OFF-AR-10001940,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",4,15,45.919999999999995
OFF-ST-10003455,"Tenex File Box, Personal Filing Tote with Lid, Black",7,24,338.118
TEC-AC-10004659,"Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB",6,32,1926.9360000000001
TEC-PH-10003273,"AT&T TR1909W",4,15,1738.662
TEC-PH-10004896,"Nokia Lumia 521 (T-Mobile)",5,20,515.828
TEC-AC-10002345,"HP Standard 104 key PS/2 Keyboard",6,20,275.5
OFF-BI-10001890,"Avery Poly Binder Pockets",8,34,78.044
TEC-AC-10002323,"SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card",11,44,884.0000000000001
OFF-ST-10001328,"Personal Filing Tote with Lid, Black/Gray",8,31,459.096
FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",6,27,5184.081
TEC-PH-10001552,"I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink",10,52,542.984
OFF-PA-10000061,"Xerox 205",4,24,150.336
OFF-AR-10003514,"4009 Highlighters by Sanford",8,44,171.14
OFF-AR-10004685,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",7,20,88.896
OFF-AR-10004027,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",3,8,17.64
OFF-ST-10001414,"Decoflex Hanging Personal Folder File",1,3,46.26
OFF-PA-10002749,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",3,12,72.25200000000001
OFF-PA-10002666,"Southworth 25% Cotton Linen-Finish Paper & Envelopes",4,20,166.704
FUR-TA-10004289,"BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables",3,15,1706.25
OFF-AP-10003622,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",5,29,87.75
OFF-AP-10003217,"Eureka Sanitaire  Commercial Upright",3,12,1524.5320000000002
FUR-FU-10002960,"Eldon 200 Class Desk Accessories, Burgundy",5,25,135.648
TEC-PH-10001918,"Nortel Business Series Terminal T7208 Digital phone",3,9,1000.7280000000001
OFF-ST-10000642,"Tennsco Lockers, Gray",6,22,402.816
TEC-PH-10001700,"Panasonic KX-TG6844B Expandable Digital Cordless Telephone",7,22,1135.028
OFF-FA-10000134,"Advantus Push Pins, Aluminum Head",5,24,139.44
OFF-ST-10001522,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",10,28,2299.75
TEC-AC-10001266,"Memorex Micro Travel Drive 8 GB",8,26,299
OFF-LA-10004544,"Avery 505",7,28,372.96
FUR-BO-10004695,"O'Sullivan 2-Door Barrister Bookcase in Odessa Pine",7,31,4886.46
TEC-MA-10000864,"Cisco 9971 IP Video Phone Charcoal",2,16,4268
TEC-AC-10000109,"Sony Micro Vault Click 16 GB USB 2.0 Flash Drive",9,29,1489.334
TEC-PH-10002563,"Adtran 1202752G1",5,18,1990.642
OFF-FA-10000585,"OIC Bulk Pack Metal Binder Clips",8,30,92.136
OFF-PA-10004000,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",4,13,50.138000000000005
FUR-FU-10000087,"Executive Impressions 14" Two-Color Numerals Wall Clock"",6,16,308.99199999999996
TEC-MA-10001148,"Okidata MB491 Multifunction Printer",5,22,5204.241
TEC-MA-10001148,"Swingline SM12-08 MicroCut Jam Free Shredder",5,22,5204.241
OFF-AR-10001958,"Stanley Bostitch Contemporary Electric Pencil Sharpeners",7,19,275.076
OFF-AR-10001026,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",3,14,30.799999999999997
FUR-TA-10003748,"Bevis 36 x 72 Conference Tables",8,40,4332.2519999999995
OFF-ST-10002485,"Rogers Deluxe File Chest",8,22,443.99600000000004
FUR-CH-10004860,"Global Low Back Tilter Chair",8,21,1746.9540000000002
FUR-CH-10004477,"Global Push Button Manager's Chair, Indigo",9,44,2185.9510000000005
OFF-BI-10001679,"GBC Instant Index System for Binding Systems",5,19,71.928
FUR-TA-10001705,"Bush Advantage Collection Round Conference Table",4,19,3401.6000000000004
FUR-TA-10003473,"Bretford Rectangular Conference Table Tops",12,46,12995.291500000001
FUR-FU-10004017,"Executive Impressions 13" Chairman Wall Clock"",7,21,1264.582
FUR-FU-10004017,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39" x 49"""",7,21,1264.582
TEC-AC-10003832,"Imation 16GB Mini TravelDrive USB 2.0 Flash Drive",18,75,11203.756000000003
TEC-AC-10003832,"Logitech P710e Mobile Speakerphone",18,75,11203.756000000003
OFF-PA-10002479,"Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright)",8,30,139.392
OFF-PA-10003349,"Xerox 1957",6,17,95.904
FUR-FU-10000576,"Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base",5,23,3861.056
FUR-FU-10004351,"Staple-based wall hangings",6,24,202.592
TEC-PH-10000011,"PureGear Roll-On Screen Protector",5,34,571.7139999999999
FUR-TA-10002607,"KI Conference Tables",8,44,2140.878
FUR-FU-10002505,"Eldon 100 Class Desk Accessories",4,18,36.396
OFF-ST-10002276,"Safco Steel Mobile File Cart",5,9,683.552
OFF-PA-10004082,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",7,28,223.44
OFF-AP-10002945,"Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room",8,40,11304.439999999999
FUR-CH-10002965,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",11,39,5989.204000000001
OFF-PA-10004569,"Wirebound Message Books, Two 4 1/4" x 5"" Forms per Page"",6,15,109.584
OFF-ST-10001228,"Personal File Boxes with Fold-Down Carry Handle",9,36,462.32800000000003
OFF-ST-10001228,"Fellowes Personal Hanging Folder Files, Navy",9,36,462.32800000000003
OFF-EN-10003296,"Tyvek Side-Opening Peel & Seel Expanding Envelopes",5,14,1266.72
TEC-PH-10001580,"Logitech Mobile Speakerphone P710e - speaker phone",5,17,1916.716
TEC-AC-10000290,"Sabrent 4-Port USB 2.0 Hub",4,15,96.418
OFF-ST-10002790,"Safco Industrial Shelving",5,13,827.12
OFF-BI-10003460,"Acco 3-Hole Punch",9,36,137.532
OFF-AP-10002203,"Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac",1,2,1.624
TEC-MA-10003353,"Xerox WorkCentre 6505DN Laser Multifunction Printer",1,7,2519.958
TEC-PH-10001433,"Cisco Small Business SPA 502G VoIP phone",4,11,882.1020000000001
TEC-AC-10004469,"Microsoft Sculpt Comfort Mouse",10,42,1574.03
OFF-AR-10003602,"Quartet Omega Colored Chalk, 12/Pack",7,15,80.592
OFF-FA-10003472,"Bagged Rubber Bands",5,21,25.703999999999997
OFF-ST-10004180,"Safco Commercial Shelving",5,11,483.70399999999995
OFF-EN-10004386,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",5,12,259.092
OFF-ST-10003208,"Adjustable Depth Letter/Legal Cart",12,45,7730.196
TEC-AC-10003628,"Logitech 910-002974 M325 Wireless Mouse for Web Scrolling",15,52,1409.5300000000002
FUR-FU-10003274,"Regeneration Desk Collection",5,21,35.904
OFF-BI-10002557,"Presstex Flexible Ring Binders",8,30,92.82000000000001
OFF-AR-10001427,"Newell 330",4,11,59.800000000000004
OFF-PA-10000673,"Post-it “Important Message” Note Pad, Neon Colors, 50 Sheets/Pad",2,9,62.608000000000004
OFF-ST-10000876,"Eldon Simplefile Box Office",8,30,345.832
OFF-LA-10002043,"Avery 489",5,16,159.39
OFF-BI-10004967,"Round Ring Binders",6,28,29.952
TEC-PH-10001760,"Bose SoundLink Bluetooth Speaker",5,18,2865.6
FUR-TA-10002903,"Bevis Round Bullnose 29" High Table Top"",5,24,4544.924999999999
OFF-PA-10000474,"Easy-staple paper",12,34,1105.7279999999998
TEC-AC-10001956,"Microsoft Arc Touch Mouse",2,7,359.70000000000005
OFF-PA-10004100,"Xerox 216",8,42,238.464
OFF-BI-10000778,"GBC VeloBinder Electric Binding Machine",4,15,496.0179999999999
OFF-SU-10000646,"Premier Automatic Letter Opener",5,14,2836.366
OFF-FA-10002983,"Advantus SlideClip Paper Clips",3,15,46.376000000000005
OFF-LA-10004689,"Avery 512",5,32,84.388
TEC-AC-10002001,"Logitech Wireless Gaming Headset G930",6,21,2879.8199999999997
FUR-BO-10004709,"Bush Westfield Collection Bookcases, Medium Cherry Finish",9,32,1426.8878
FUR-FU-10004091,"Eldon 200 Class Desk Accessories, Black",8,39,1117.4279999999999
FUR-FU-10004091,"Howard Miller 13" Diameter Goldtone Round Wall Clock"",8,39,1117.4279999999999
FUR-CH-10001891,"Global Deluxe Office Fabric Chairs",6,17,1420.5040000000001
FUR-FU-10002918,"Eldon ClusterMat Chair Mat with Cordless Antistatic Protection",5,18,1200.9360000000001
OFF-BI-10004593,"Ibico Laser Imprintable Binding System Covers",8,34,1100.4
OFF-FA-10004854,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",8,29,296.184
OFF-PA-10002105,"Xerox 223",3,9,58.31999999999999
OFF-PA-10004243,"Xerox 1939",5,22,417.34
FUR-FU-10001861,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",6,24,434.56
OFF-BI-10002706,"Avery Premier Heavy-Duty Binder with Round Locking Rings",7,21,191.352
FUR-TA-10002533,"BPI Conference Tables",5,26,2241.8675
FUR-FU-10002671,"Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp",5,13,168.84
OFF-AR-10003651,"Newell 350",6,20,62.32000000000001
OFF-BI-10001072,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",4,15,136.44
OFF-AR-10002135,"Boston Heavy-Duty Trimline Electric Pencil Sharpeners",5,25,1166.4399999999998
OFF-AR-10002804,"Faber Castell Col-Erase Pencils",5,8,37.164
FUR-FU-10001918,"C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings",8,31,137.17
FUR-CH-10004086,"Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs",8,34,8430.997000000001
FUR-FU-10001756,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",6,20,262.75199999999995
OFF-LA-10000634,"Avery 509",4,13,32.364000000000004
FUR-FU-10001588,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",4,18,437.70000000000005
TEC-PH-10002398,"AT&T 1070 Corded Phone",3,12,1070.3039999999999
OFF-PA-10001937,"Xerox 21",7,24,124.416
OFF-AR-10003373,"Boston School Pro Electric Pencil Sharpener, 1670",7,32,873.6359999999999
FUR-CH-10002602,"DMI Arturo Collection Mission-style Design Wood Chair",11,37,4619.988
TEC-MA-10002927,"Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier",1,2,3991.98
TEC-AC-10000892,"NETGEAR N750 Dual Band Wi-Fi Gigabit Router",7,22,1890
OFF-FA-10000624,"OIC Binder Clips",7,38,128.164
TEC-AC-10001908,"Logitech Wireless Headset h800",6,32,2799.72
FUR-FU-10001967,"Telescoping Adjustable Floor Lamp",6,10,143.928
TEC-PH-10003645,"Aastra 57i VoIP phone",7,26,3684.708
OFF-ST-10000675,"File Shuttle II and Handi-File, Black",7,34,1125.148
FUR-CH-10003312,"Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs",6,24,5282.424
OFF-LA-10001074,"Round Specialty Laser Printer Labels",6,39,421.008
OFF-BI-10001524,"GBC Premium Transparent Covers with Diagonal Lined Pattern",14,67,780.4559999999998
TEC-PH-10004614,"AT&T 841000 Phone",7,28,1614.6
OFF-BI-10001153,"Ibico Recycled Grain-Textured Covers",4,8,141.614
OFF-BI-10001982,"Wilson Jones Custom Binder Spines & Labels",7,22,41.344
OFF-BI-10001922,"Storex Dura Pro Binders",5,33,153.25199999999998
TEC-CO-10001449,"Hewlett Packard LaserJet 3310 Copier",8,38,18839.686
OFF-BI-10004140,"Avery Non-Stick Binders",13,36,75.432
OFF-BI-10003314,"Tuff Stuff Recycled Round Ring Binders",9,23,80.494
FUR-TA-10004575,"Hon 5100 Series Wood Tables",7,26,5965.09
OFF-AR-10000122,"Newell 314",7,24,118.29599999999999
OFF-AR-10001374,"BIC Brite Liner Highlighters, Chisel Tip",6,21,123.11999999999999
OFF-PA-10001970,"Xerox 1908",19,70,2167.3479999999995
OFF-PA-10001970,"Xerox 1881",19,70,2167.3479999999995
OFF-BI-10002160,"Acco Hanging Data Binders",7,17,41.910000000000004
OFF-BI-10004995,"GBC DocuBind P400 Electric Binding System",6,27,17965.068
FUR-BO-10002268,"Sauder Barrister Bookcases",3,16,754.7336
OFF-EN-10001137,"#10 Gummed Flap White Envelopes, 100/Box",4,11,41.3
OFF-AR-10002399,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",7,27,110.75999999999999
