product_id,product_name,category,sub_category
OFF-EN-10002504,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White","Office Supplies",Envelopes
FUR-TA-10001768,"Hon Racetrack Conference Tables",Furniture,Tables
OFF-BI-10003650,"GBC DocuBind 300 Electric Binding Machine","Office Supplies",Binders
FUR-FU-10002157,"Artistic Insta-Plaque",Furniture,Furnishings
OFF-ST-10000777,"Companion Letter/Legal File, Black","Office Supplies",Storage
OFF-EN-10002500,"Globe Weis Peel & Seel First Class Envelopes","Office Supplies",Envelopes
TEC-PH-10003875,"KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7",Technology,Phones
FUR-CH-10004063,"Global Deluxe High-Back Manager's Chair",Furniture,Chairs
FUR-TA-10004534,"Bevis 44 x 96 Conference Tables",Furniture,Tables
OFF-BI-10003274,"Avery Durable Slant Ring Binders, No Labels","Office Supplies",Binders
OFF-ST-10002974,"Trav-L-File Heavy-Duty Shuttle II, Black","Office Supplies",Storage
FUR-CH-10001146,"Global Task Chair, Black",Furniture,Chairs
FUR-FU-10003773,"Eldon Cleatmat Plus Chair Mats for High Pile Carpets",Furniture,Furnishings
TEC-PH-10002293,"Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5",Technology,Phones
OFF-PA-10002377,"Xerox 1916","Office Supplies",Paper
OFF-FA-10002780,Staples,"Office Supplies",Fasteners
OFF-PA-10001804,"Xerox 195","Office Supplies",Paper
OFF-PA-10001736,"Xerox 1880","Office Supplies",Paper
OFF-AR-10001149,"Sanford Colorific Colored Pencils, 12/Box","Office Supplies",Art
OFF-FA-10002988,"Ideal Clamps","Office Supplies",Fasteners
OFF-BI-10004781,"GBC Wire Binding Strips","Office Supplies",Binders
OFF-SU-10001218,"Fiskars Softgrip Scissors","Office Supplies",Supplies
OFF-AR-10000940,"Newell 343","Office Supplies",Art
OFF-EN-10004030,"Convenience Packs of Business Envelopes","Office Supplies",Envelopes
OFF-PA-10004327,"Xerox 1911","Office Supplies",Paper
OFF-AP-10001058,"Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators","Office Supplies",Appliances
FUR-FU-10000521,"Seth Thomas 14" Putty-Colored Wall Clock"",Furniture,Furnishings
TEC-PH-10000215,"Plantronics Cordless Phone Headset with In-line Volume - M214C",Technology,Phones
TEC-PH-10001448,"Anker Astro 15000mAh USB Portable Charger",Technology,Phones
OFF-BI-10002735,"GBC Prestige Therm-A-Bind Covers","Office Supplies",Binders
OFF-AP-10000326,"Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection","Office Supplies",Appliances
TEC-PH-10001254,"Jabra BIZ 2300 Duo QD Duo Corded Headset",Technology,Phones
OFF-PA-10001950,"Southworth 25% Cotton Antique Laid Paper & Envelopes","Office Supplies",Paper
OFF-PA-10002254,"Xerox 1883","Office Supplies",Paper
OFF-ST-10001590,"Tenex Personal Project File with Scoop Front Design, Black","Office Supplies",Storage
OFF-AR-10001547,"Newell 311","Office Supplies",Art
OFF-LA-10002475,"Avery 519","Office Supplies",Labels
TEC-PH-10004536,"Avaya 5420 Digital phone",Technology,Phones
OFF-PA-10002751,"Xerox 1920","Office Supplies",Paper
TEC-AC-10003657,"Lenovo 17-Key USB Numeric Keypad",Technology,Accessories
OFF-EN-10001990,"Staple envelope","Office Supplies",Envelopes
OFF-BI-10004002,"Wilson Jones International Size A4 Ring Binders","Office Supplies",Binders
OFF-AR-10004441,"BIC Brite Liner Highlighters","Office Supplies",Art
TEC-MA-10000822,"Lexmark MX611dhe Monochrome Laser Printer",Technology,Machines
OFF-ST-10000991,"Space Solutions HD Industrial Steel Shelving.","Office Supplies",Storage
FUR-CH-10004287,"SAFCO Arco Folding Chair",Furniture,Chairs
OFF-AR-10002656,"Sanford Liquid Accent Highlighters","Office Supplies",Art
OFF-AP-10002518,"Kensington 7 Outlet MasterPiece Power Center","Office Supplies",Appliances
TEC-PH-10003931,"JBL Micro Wireless Portable Bluetooth Speaker",Technology,Phones
OFF-PA-10000659,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”","Office Supplies",Paper
OFF-PA-10001144,"Xerox 1913","Office Supplies",Paper
FUR-CH-10003817,"Global Value Steno Chair, Gray",Furniture,Chairs
OFF-AP-10000891,"Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center","Office Supplies",Appliances
OFF-LA-10003148,"Avery 51","Office Supplies",Labels
OFF-AP-10002684,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection","Office Supplies",Appliances
FUR-CH-10004698,"Padded Folding Chairs, Black, 4/Carton",Furniture,Chairs
OFF-SU-10002189,"Acme Rosewood Handle Letter Opener","Office Supplies",Supplies
OFF-AR-10001940,"Sanford Colorific Eraseable Coloring Pencils, 12 Count","Office Supplies",Art
OFF-ST-10003455,"Tenex File Box, Personal Filing Tote with Lid, Black","Office Supplies",Storage
TEC-AC-10004659,"Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB",Technology,Accessories
TEC-PH-10003273,"AT&T TR1909W",Technology,Phones
TEC-PH-10004896,"Nokia Lumia 521 (T-Mobile)",Technology,Phones
TEC-AC-10002345,"HP Standard 104 key PS/2 Keyboard",Technology,Accessories
OFF-BI-10001890,"Avery Poly Binder Pockets","Office Supplies",Binders
TEC-AC-10002323,"SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card",Technology,Accessories
OFF-ST-10001328,"Personal Filing Tote with Lid, Black/Gray","Office Supplies",Storage
FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,Bookcases
TEC-PH-10001552,"I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink",Technology,Phones
OFF-PA-10000061,"Xerox 205","Office Supplies",Paper
OFF-AR-10003514,"4009 Highlighters by Sanford","Office Supplies",Art
OFF-AR-10004685,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set","Office Supplies",Art
OFF-AR-10004027,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box","Office Supplies",Art
OFF-ST-10001414,"Decoflex Hanging Personal Folder File","Office Supplies",Storage
OFF-PA-10002749,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page","Office Supplies",Paper
OFF-PA-10002666,"Southworth 25% Cotton Linen-Finish Paper & Envelopes","Office Supplies",Paper
FUR-TA-10004289,"BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables",Furniture,Tables
OFF-AP-10003622,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack","Office Supplies",Appliances
OFF-AP-10003217,"Eureka Sanitaire  Commercial Upright","Office Supplies",Appliances
FUR-FU-10002960,"Eldon 200 Class Desk Accessories, Burgundy",Furniture,Furnishings
TEC-PH-10001918,"Nortel Business Series Terminal T7208 Digital phone",Technology,Phones
OFF-ST-10000642,"Tennsco Lockers, Gray","Office Supplies",Storage
TEC-PH-10001700,"Panasonic KX-TG6844B Expandable Digital Cordless Telephone",Technology,Phones
OFF-FA-10000134,"Advantus Push Pins, Aluminum Head","Office Supplies",Fasteners
OFF-ST-10001522,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h","Office Supplies",Storage
TEC-AC-10001266,"Memorex Micro Travel Drive 8 GB",Technology,Accessories
OFF-LA-10004544,"Avery 505","Office Supplies",Labels
FUR-BO-10004695,"O'Sullivan 2-Door Barrister Bookcase in Odessa Pine",Furniture,Bookcases
TEC-MA-10000864,"Cisco 9971 IP Video Phone Charcoal",Technology,Machines
TEC-AC-10000109,"Sony Micro Vault Click 16 GB USB 2.0 Flash Drive",Technology,Accessories
TEC-PH-10002563,"Adtran 1202752G1",Technology,Phones
OFF-FA-10000585,"OIC Bulk Pack Metal Binder Clips","Office Supplies",Fasteners
OFF-PA-10004000,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle","Office Supplies",Paper
FUR-FU-10000087,"Executive Impressions 14" Two-Color Numerals Wall Clock"",Furniture,Furnishings
TEC-MA-10001148,"Swingline SM12-08 MicroCut Jam Free Shredder",Technology,Machines
OFF-AR-10001958,"Stanley Bostitch Contemporary Electric Pencil Sharpeners","Office Supplies",Art
OFF-AR-10001026,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow","Office Supplies",Art
FUR-TA-10003748,"Bevis 36 x 72 Conference Tables",Furniture,Tables
OFF-ST-10002485,"Rogers Deluxe File Chest","Office Supplies",Storage
FUR-CH-10004860,"Global Low Back Tilter Chair",Furniture,Chairs
FUR-CH-10004477,"Global Push Button Manager's Chair, Indigo",Furniture,Chairs
OFF-BI-10001679,"GBC Instant Index System for Binding Systems","Office Supplies",Binders
FUR-TA-10001705,"Bush Advantage Collection Round Conference Table",Furniture,Tables
FUR-TA-10003473,"Bretford Rectangular Conference Table Tops",Furniture,Tables
FUR-FU-10004017,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39" x 49"""",Furniture,Furnishings
TEC-AC-10003832,"Logitech P710e Mobile Speakerphone",Technology,Accessories
OFF-PA-10002479,"Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright)","Office Supplies",Paper
OFF-PA-10003349,"Xerox 1957","Office Supplies",Paper
FUR-FU-10000576,"Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base",Furniture,Furnishings
FUR-FU-10004351,"Staple-based wall hangings",Furniture,Furnishings
TEC-PH-10000011,"PureGear Roll-On Screen Protector",Technology,Phones
FUR-TA-10002607,"KI Conference Tables",Furniture,Tables
FUR-FU-10002505,"Eldon 100 Class Desk Accessories",Furniture,Furnishings
OFF-ST-10002276,"Safco Steel Mobile File Cart","Office Supplies",Storage
OFF-PA-10004082,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book","Office Supplies",Paper
OFF-AP-10002945,"Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room","Office Supplies",Appliances
FUR-CH-10002965,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Furniture,Chairs
OFF-PA-10004569,"Wirebound Message Books, Two 4 1/4" x 5"" Forms per Page"","Office Supplies",Paper
OFF-ST-10001228,"Fellowes Personal Hanging Folder Files, Navy","Office Supplies",Storage
OFF-EN-10003296,"Tyvek Side-Opening Peel & Seel Expanding Envelopes","Office Supplies",Envelopes
TEC-PH-10001580,"Logitech Mobile Speakerphone P710e - speaker phone",Technology,Phones
TEC-AC-10000290,"Sabrent 4-Port USB 2.0 Hub",Technology,Accessories
OFF-ST-10002790,"Safco Industrial Shelving","Office Supplies",Storage
OFF-BI-10003460,"Acco 3-Hole Punch","Office Supplies",Binders
OFF-AP-10002203,"Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac","Office Supplies",Appliances
TEC-MA-10003353,"Xerox WorkCentre 6505DN Laser Multifunction Printer",Technology,Machines
TEC-PH-10001433,"Cisco Small Business SPA 502G VoIP phone",Technology,Phones
TEC-AC-10004469,"Microsoft Sculpt Comfort Mouse",Technology,Accessories
OFF-AR-10003602,"Quartet Omega Colored Chalk, 12/Pack","Office Supplies",Art
OFF-FA-10003472,"Bagged Rubber Bands","Office Supplies",Fasteners
OFF-ST-10004180,"Safco Commercial Shelving","Office Supplies",Storage
OFF-EN-10004386,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13","Office Supplies",Envelopes
OFF-ST-10003208,"Adjustable Depth Letter/Legal Cart","Office Supplies",Storage
TEC-AC-10003628,"Logitech 910-002974 M325 Wireless Mouse for Web Scrolling",Technology,Accessories
FUR-FU-10003274,"Regeneration Desk Collection",Furniture,Furnishings
OFF-BI-10002557,"Presstex Flexible Ring Binders","Office Supplies",Binders
OFF-AR-10001427,"Newell 330","Office Supplies",Art
OFF-PA-10000673,"Post-it “Important Message” Note Pad, Neon Colors, 50 Sheets/Pad","Office Supplies",Paper
OFF-ST-10000876,"Eldon Simplefile Box Office","Office Supplies",Storage
OFF-LA-10002043,"Avery 489","Office Supplies",Labels
OFF-BI-10004967,"Round Ring Binders","Office Supplies",Binders
TEC-PH-10001760,"Bose SoundLink Bluetooth Speaker",Technology,Phones
FUR-TA-10002903,"Bevis Round Bullnose 29" High Table Top"",Furniture,Tables
OFF-PA-10000474,"Easy-staple paper","Office Supplies",Paper
TEC-AC-10001956,"Microsoft Arc Touch Mouse",Technology,Accessories
OFF-PA-10004100,"Xerox 216","Office Supplies",Paper
OFF-BI-10000778,"GBC VeloBinder Electric Binding Machine","Office Supplies",Binders
OFF-SU-10000646,"Premier Automatic Letter Opener","Office Supplies",Supplies
OFF-FA-10002983,"Advantus SlideClip Paper Clips","Office Supplies",Fasteners
OFF-LA-10004689,"Avery 512","Office Supplies",Labels
TEC-AC-10002001,"Logitech Wireless Gaming Headset G930",Technology,Accessories
FUR-BO-10004709,"Bush Westfield Collection Bookcases, Medium Cherry Finish",Furniture,Bookcases
FUR-FU-10004091,"Howard Miller 13" Diameter Goldtone Round Wall Clock"",Furniture,Furnishings
FUR-CH-10001891,"Global Deluxe Office Fabric Chairs",Furniture,Chairs
FUR-FU-10002918,"Eldon ClusterMat Chair Mat with Cordless Antistatic Protection",Furniture,Furnishings
OFF-BI-10004593,"Ibico Laser Imprintable Binding System Covers","Office Supplies",Binders
OFF-FA-10004854,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box","Office Supplies",Fasteners
OFF-PA-10002105,"Xerox 223","Office Supplies",Paper
OFF-PA-10004243,"Xerox 1939","Office Supplies",Paper
FUR-FU-10001861,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",Furniture,Furnishings
OFF-BI-10002706,"Avery Premier Heavy-Duty Binder with Round Locking Rings","Office Supplies",Binders
FUR-TA-10002533,"BPI Conference Tables",Furniture,Tables
FUR-FU-10002671,"Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp",Furniture,Furnishings
OFF-AR-10003651,"Newell 350","Office Supplies",Art
OFF-BI-10001072,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack","Office Supplies",Binders
OFF-AR-10002135,"Boston Heavy-Duty Trimline Electric Pencil Sharpeners","Office Supplies",Art
OFF-AR-10002804,"Faber Castell Col-Erase Pencils","Office Supplies",Art
FUR-FU-10001918,"C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings",Furniture,Furnishings
FUR-CH-10004086,"Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs",Furniture,Chairs
FUR-FU-10001756,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",Furniture,Furnishings
OFF-LA-10000634,"Avery 509","Office Supplies",Labels
FUR-FU-10001588,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",Furniture,Furnishings
TEC-PH-10002398,"AT&T 1070 Corded Phone",Technology,Phones
OFF-PA-10001937,"Xerox 21","Office Supplies",Paper
OFF-AR-10003373,"Boston School Pro Electric Pencil Sharpener, 1670","Office Supplies",Art
FUR-CH-10002602,"DMI Arturo Collection Mission-style Design Wood Chair",Furniture,Chairs
TEC-MA-10002927,"Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier",Technology,Machines
TEC-AC-10000892,"NETGEAR N750 Dual Band Wi-Fi Gigabit Router",Technology,Accessories
OFF-FA-10000624,"OIC Binder Clips","Office Supplies",Fasteners
TEC-AC-10001908,"Logitech Wireless Headset h800",Technology,Accessories
FUR-FU-10001967,"Telescoping Adjustable Floor Lamp",Furniture,Furnishings
TEC-PH-10003645,"Aastra 57i VoIP phone",Technology,Phones
OFF-ST-10000675,"File Shuttle II and Handi-File, Black","Office Supplies",Storage
FUR-CH-10003312,"Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs",Furniture,Chairs
OFF-LA-10001074,"Round Specialty Laser Printer Labels","Office Supplies",Labels
OFF-BI-10001524,"GBC Premium Transparent Covers with Diagonal Lined Pattern","Office Supplies",Binders
TEC-PH-10004614,"AT&T 841000 Phone",Technology,Phones
OFF-BI-10001153,"Ibico Recycled Grain-Textured Covers","Office Supplies",Binders
OFF-BI-10001982,"Wilson Jones Custom Binder Spines & Labels","Office Supplies",Binders
OFF-BI-10001922,"Storex Dura Pro Binders","Office Supplies",Binders
TEC-CO-10001449,"Hewlett Packard LaserJet 3310 Copier",Technology,Copiers
OFF-BI-10004140,"Avery Non-Stick Binders","Office Supplies",Binders
OFF-BI-10003314,"Tuff Stuff Recycled Round Ring Binders","Office Supplies",Binders
FUR-TA-10004575,"Hon 5100 Series Wood Tables",Furniture,Tables
OFF-AR-10000122,"Newell 314","Office Supplies",Art
OFF-AR-10001374,"BIC Brite Liner Highlighters, Chisel Tip","Office Supplies",Art
OFF-PA-10001970,"Xerox 1881","Office Supplies",Paper
OFF-BI-10002160,"Acco Hanging Data Binders","Office Supplies",Binders
OFF-BI-10004995,"GBC DocuBind P400 Electric Binding System","Office Supplies",Binders
FUR-BO-10002268,"Sauder Barrister Bookcases",Furniture,Bookcases
OFF-EN-10001137,"#10 Gummed Flap White Envelopes, 100/Box","Office Supplies",Envelopes
OFF-AR-10002399,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush","Office Supplies",Art
OFF-PA-10002713,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”","Office Supplies",Paper
OFF-AP-10001124,"Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection","Office Supplies",Appliances
OFF-LA-10001158,"Avery Address/Shipping Labels for Typewriters, 4" x 2"""","Office Supplies",Labels
FUR-CH-10000785,"Global Ergonomic Managers Chair",Furniture,Chairs
OFF-AR-10003732,"Newell 333","Office Supplies",Art
FUR-FU-10000023,"Eldon Wave Desk Accessories",Furniture,Furnishings
